node_type,relation,estimated_rows,actual_rows,q_error
Sort,,200,25,8.0
Aggregate,,200,25,8.0
Gather Merge,,400,75,5.333333333333333
Aggregate,,200,25,8.0
Sort,,1553,1230,1.2626016260162602
Hash Join,,1553,1230,1.2626016260162602
Hash Join,,1553,1230,1.2626016260162602
Hash Join,,1553,1230,1.2626016260162602
Hash Join,,38845,30764,1.2626771551163698
Hash Join,,38845,30764,1.2626771551163698
Seq Scan,lineitem,250238,200191,1.249996253577833
Hash,,13697,7653,1.7897556513785444
Seq Scan,orders,13697,7653,1.7897556513785444
Hash,,15000,15000,1.0
Seq Scan,customer,15000,15000,1.0
Hash,,1000,1000,1.0
Seq Scan,supplier,1000,1000,1.0
Hash,,810,25,32.4
Seq Scan,nation,810,25,32.4
Hash,,850,5,170.0
Seq Scan,region,850,5,170.0
